Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2012-12-05,12948.96,13089.11,12923.44,13034.49,161236512,0.544011115,0.547984624,0.546784991,0.551402679,0.181033219
2012-12-06,13026.19,13076.88,13007.84,13074.04,116856104,0.550573799,0.546934095,0.553935951,0.554764248,0.118064218
2012-12-07,13072.87,13157.28,13072.87,13155.13,124204760,0.554540472,0.553840273,0.55944575,0.561656527,0.128490836
2012-12-10,13154.89,13195.35,13139.08,13169.88,118527536,0.561510191,0.5571104,0.565055526,0.562910209,0.120435724
2012-12-11,13170.34,13306.57,13170.34,13248.44,124513280,0.562823068,0.566663947,0.567704093,0.569587449,0.128928578
2012-12-12,13250.05,13329.44,13227.44,13245.45,127511456,0.569596492,0.568628428,0.572542006,0.569333313,0.133182531
2012-12-13,13241.38,13264.41,13147.19,13170.72,101190120,0.568859752,0.563042498,0.565742662,0.562981605,0.095836587
2012-12-14,13170.8,13190.41,13118.46,13135.01,117623872,0.562862156,0.556686065,0.563308455,0.559946419,0.119153564
2012-12-17,13135.17,13244.33,13134.63,13235.39,142976976,0.559834467,0.561317671,0.564678491,0.568478259,0.155125735
2012-12-18,13236.61,13365.86,13232.58,13350.96,152927744,0.568454417,0.571756824,0.572977502,0.57830118,0.16924435
2012-12-19,13351.04,13357.7,13251.74,13251.97,149023328,0.578178203,0.571055898,0.574600872,0.569887483,0.163704582
2012-12-20,13246.67,13314.64,13216.03,13311.72,119803224,0.569309274,0.567357141,0.57157527,0.574965959,0.12224573
2012-12-21,13309.95,13309.95,13122.53,13190.84,413314464,0.574686545,0.566954281,0.563653294,0.564691713,0.538693218
2012-12-24,13190.15,13190.38,13128.55,13139.08,47711104,0.564506439,0.556683488,0.56416335,0.56029235,0.019958055
2012-12-26,13138.85,13174.88,13076.87,13114.59,79413600,0.560147178,0.555352073,0.559784658,0.558210812,0.064939041
2012-12-27,13114.97,13141.74,12964.08,13096.31,100161152,0.558117955,0.552505422,0.550228297,0.556657096,0.094376639
2012-12-28,13095.08,13095.46,12926.86,12938.11,86001232,0.556427785,0.548530075,0.547074757,0.543210821,0.074285882
2012-12-31,12938.19,13109.13,12883.89,13104.14,145769536,0.543095925,0.549704297,0.543434037,0.55732261,0.159087949
2013-01-02,13104.3,13412.71,13104.3,13412.55,161434704,0.557211263,0.575781133,0.56210872,0.583536047,0.181314423
2013-01-03,13413.01,13430.6,13358.3,13391.36,129636720,0.583444156,0.577317843,0.583629384,0.581734994,0.136197955
2013-01-04,13391.05,13447.11,13376.23,13435.21,107589664,0.581578086,0.578736015,0.585148539,0.585462044,0.10491656
2013-01-07,13436.13,13436.13,13343.32,13384.29,113121848,0.585408798,0.577792858,0.582360173,0.581134077,0.112765881
2013-01-08,13377.42,13377.42,13293.13,13328.85,129570272,0.580419866,0.572749801,0.578107724,0.576421931,0.136103675
2013-01-09,13329.92,13416.55,13329.08,13390.51,123067992,0.576383513,0.57611098,0.58115366,0.581662748,0.126877936
2013-01-10,13391.82,13478.2,13382.29,13471.22,133524904,0.581643518,0.581406575,0.585661985,0.588522729,0.141714692
2013-01-11,13471.45,13496.68,13439.97,13488.43,119203616,0.588410144,0.582993966,0.59054904,0.5899855,0.121394978
2013-01-14,13488.43,13520.18,13459.84,13507.32,118464424,0.589853034,0.585012563,0.592232566,0.591591063,0.120346178
2013-01-15,13507.32,13546.37,13445.8,13534.89,102278792,0.591458228,0.587262224,0.591042998,0.593934387,0.097381246
