Standardized	Adjusted	Hits
189.52035021677096	0.005248783129267904	0
134.8373541117407	0.007361745276467866	3
119.53200246228609	0.00829655178352235	8
66.27756563391833	0.014863795837105094	10
66.27756563391833	0.014863795837105094	10
67.77785686692314	0.014539563248312307	6
79.00277927500129	0.012499565753367184	8
61.78659518669645	0.015926966528866424	8
69.45141747801523	0.014194178567266666	4
66.2384350746088	0.014872446077758719	10
60.69272462203974	0.016209366762880005	7
48.0395140343985	0.02039171920216329	15
51.19883705732164	0.019157514925128693	10
48.29160549685792	0.0202874300790171	11
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
48.423769876029745	0.020233179348890473	12
50.58305313378527	0.01938621192906923	14
51.47308845496666	0.019057387880993853	10
51.47308845496666	0.019057387880993853	10
46.36526862932894	0.02111251617352366	15
46.36526862932894	0.02111251617352366	15
46.36526862932894	0.02111251617352366	15
46.36526862932894	0.02111251617352366	15
49.92955201824475	0.01963496556266124	13
46.42280155595503	0.021086902654202783	12
49.04830027704541	0.01998069853450445	12
49.04830027704541	0.01998069853450445	12
49.04830027704541	0.01998069853450445	12
49.01283065188853	0.01999486905591174	15
47.62667334224108	0.020564844996939547	13
47.62667334224108	0.020564844996939547	13
47.62667334224108	0.020564844996939547	13
47.62667334224108	0.020564844996939547	13
48.363384222728236	0.020257930361662135	18
39.99847914845932	0.02439114866624459	15
39.99847914845932	0.02439114866624459	15
46.63503180863877	0.0209929533377292	16
46.63503180863877	0.0209929533377292	16
48.363384222728236	0.020257930361662135	18
48.363384222728236	0.020257930361662135	18
48.363384222728236	0.020257930361662135	18
43.271399064076405	0.022587946645929252	16
43.271399064076405	0.022587946645929252	16
43.271399064076405	0.022587946645929252	16
43.271399064076405	0.022587946645929252	16
39.99847914845932	0.02439114866624459	15
