Standardized	Adjusted	Hits
166.4449140763366	0.005972113309718736	3
111.76150346350968	0.008868274803764089	6
111.76150346350968	0.008868274803764089	6
88.12408263022643	0.011220311844880074	4
84.26333689638464	0.011728370439163544	7
87.47081621987591	0.011303162361639196	9
87.47081621987591	0.011303162361639196	9
74.53310958721092	0.013239227213933181	5
80.23160645424002	0.012310479179841497	4
80.23160645424002	0.012310479179841497	4
76.43393647855595	0.012914234319947475	5
70.31316040855052	0.014022657168340825	6
61.45130776029378	0.016012474932283083	14
60.36167972075346	0.016296815937093468	11
52.992330790101065	0.018521148936643788	9
59.514225840661474	0.016525039957266834	9
56.402388361549896	0.017420877920644753	13
56.402388361549896	0.017420877920644753	13
49.67905580149956	0.019732017185103333	11
56.18707657728659	0.01748646826960162	10
38.140731425885015	0.025548832726684	16
51.19004225596222	0.019160743252430678	15
52.2408993165505	0.018782552752431427	12
47.87698720571234	0.020459526193609745	12
47.87698720571234	0.020459526193609745	12
51.27343333926587	0.019130176384431916	11
48.65593117301964	0.020138581159934953	13
49.80239757997405	0.01968411034982713	13
49.80239757997405	0.01968411034982713	13
47.52063653277328	0.020609787328831716	13
41.742628316653025	0.023395847176070555	13
41.742628316653025	0.023395847176070555	13
41.742628316653025	0.023395847176070555	13
41.742628316653025	0.023395847176070555	13
49.758183138662055	0.01970125678588974	13
49.758183138662055	0.01970125678588974	13
49.758183138662055	0.01970125678588974	13
50.031972276198  	0.019595558537062727	14
47.057384426577855	0.020808456638496453	16
47.057384426577855	0.020808456638496453	16
47.057384426577855	0.020808456638496453	16
47.057384426577855	0.020808456638496453	16
47.057384426577855	0.020808456638496453	16
47.057384426577855	0.020808456638496453	16
44.11571825770708	0.022165223975552487	14
47.057384426577855	0.020808456638496453	16
46.83626975801862	0.020904640036912028	14
46.83626975801862	0.020904640036912028	14
47.057384426577855	0.020808456638496453	16
41.47970172788931	0.023540654932223015	17
41.47970172788931	0.023540654932223015	17
38.140731425885015	0.025548832726684	16
